channel,n_low,n_zero,reference_delta_low_minus_zero,reference_p_value,comparison_delta_low_minus_zero,comparison_p_value,same_direction,both_low_lower_than_zero
DAPI,20,20,-0.0971970106671155,0.008354827335644516,-0.09572371169813321,0.00655719264528017,True,True
TRITC,20,20,0.005766030728634838,0.6553614390103917,0.0028291715263094874,0.5427717015170068,True,False
Cy5,20,20,0.004163841941486501,0.9676346083712113,0.002881698446253734,0.8817307917391243,True,False
PD-1,20,20,-0.05030165899230654,0.0036388262246247497,-0.04810055258262766,0.0039662386402239186,True,True
CD14,20,20,-0.006426893725140877,0.003336179304756405,-0.005694162083926823,0.004702532763389893,True,True
CD4,20,20,-0.037189158857608845,0.0016252575462520652,-0.03365059631335613,0.002798602190907081,True,True
T-bet,20,20,-0.0005617142050335054,0.09619629624919562,-0.00015116856976078036,0.10751135969600566,True,True
CD34,20,20,-0.004376996454255204,0.0013485824363168647,-0.004326887269985482,0.0013485824363168647,True,True
CD68,20,20,-0.006991904655769002,0.005115262023126528,-0.006324219230270954,0.004702532763389893,True,True
CD16,20,20,-0.0031500491869612887,0.006040329507995923,-0.002756527324112308,0.013320516023599967,True,True
CD11c,20,20,-0.00507936562942384,0.0025606152871445868,-0.004265637202092882,0.007113494035772574,True,True
CD138,20,20,-0.028008866257348275,0.09090738325062646,-0.025407127883852354,0.05310312455977326,True,True
CD20,20,20,-0.029437272618150066,0.006040329507995923,-0.026872548909011577,0.012344745758617118,True,True
CD3,20,20,-0.037110559672162376,0.002798602190907081,-0.033865644481369396,0.004702532763389893,True,True
CD8,20,20,0.003849330037331289,0.9245727283322236,0.004893718362814069,0.6553614390103917,True,False
PD-L1,20,20,-0.014473498315805945,0.012344745758617118,-0.01303302081994389,0.009786486727077012,True,True
CK,20,20,-0.06973469997007492,0.017938612870324677,-0.07023118967278497,0.02073459420718249,True,True
Ki67,20,20,0.0018137518210278643,0.5608516966002302,0.001977767855532872,0.40935585574217404,True,False
Tryptase,20,20,-0.002823404321963291,0.002798602190907081,-0.0025561737641339646,0.003336179304756405,True,True
Actin-D,20,20,0.005298601419109299,0.364841654608659,0.005444872259863615,0.2732851201810751,True,False
Caspase3-D,20,20,-0.07993034012057157,0.00655719264528017,-0.07933979475487829,0.004702532763389893,True,True
PHH3-B,20,20,-0.007813260174798269,0.01666879882427546,-0.007160319622886397,0.013320516023599967,True,True
Transgelin,20,20,0.007655266354058705,0.010581211443165647,0.007461901685212545,0.010581211443165647,True,False
